Serial,Count,TYPE,X,Y
14162,1,PERSON,-90.21829928,38.74888933
14163,1,PERSON,-90.21826805,38.79075603
14164,1,PROPERTY,-90.21826194,38.76985613
14165,1,PROPERTY,-90.21826194,38.76985613
14166,1,PROPERTY,-90.21819397,38.77123119
14167,1,PERSON,-90.21819397,38.77123119
14168,1,PERSON,-90.21819397,38.77123119
14169,1,PROPERTY,-90.21819397,38.77123119
14170,1,PROPERTY,-90.21819397,38.77123119
14171,1,PROPERTY,-90.21817656,38.74126689
14172,1,PROPERTY,-90.21817019,38.77836937
14173,1,PERSON,-90.21811699,38.79059946
14174,1,PERSON,-90.21810576,38.75084488
14175,1,PROPERTY,-90.21810576,38.75084488
14176,1,PERSON,-90.21810576,38.75084488
14177,1,PERSON,-90.21810066,38.77129043
14178,1,PROPERTY,-90.21809739,38.75091139
14179,1,PROPERTY,-90.21806876,38.74203278
14180,1,PROPERTY,-90.21806394,38.75117744
14181,1,PROPERTY,-90.21806394,38.75117744
14182,1,PROPERTY,-90.21805979,38.77420276
14183,1,PROPERTY,-90.21805979,38.77420276
14184,1,PERSON,-90.21805979,38.77420276
14185,1,PROPERTY,-90.21805979,38.77420276
14186,1,PERSON,-90.21804721,38.75131047
14187,1,PERSON,-90.21803509,38.74110521
14188,1,PROPERTY,-90.21802034,38.75097261
14189,1,PROPERTY,-90.21801772,38.79111331
14190,1,PROPERTY,-90.21798867,38.75177605
14191,1,PERSON,-90.21796234,38.75197604
14192,1,PERSON,-90.21796234,38.75197604
14193,1,PROPERTY,-90.21796234,38.75197604
14194,1,PROPERTY,-90.21796234,38.75197604
14195,1,PERSON,-90.21796234,38.75197604
14196,1,PERSON,-90.21796234,38.75197604
14197,1,PROPERTY,-90.21796234,38.75197604
14198,1,PROPERTY,-90.21796179,38.75143819
14199,1,PROPERTY,-90.21796179,38.75143819
14200,1,PROPERTY,-90.21793827,38.74376978
14201,1,PERSON,-90.2179238,38.77408267
14202,1,PROPERTY,-90.21791683,38.74453223
14203,1,PERSON,-90.21791374,38.74422107
14204,1,PROPERTY,-90.21791374,38.74422107
14205,1,PROPERTY,-90.21791197,38.76456874
14206,1,PERSON,-90.2178883,38.78943009
14207,1,PROPERTY,-90.21787116,38.74886992
14208,1,PERSON,-90.21784134,38.7425135
14209,1,PROPERTY,-90.21781416,38.75254684
14210,1,PERSON,-90.21773526,38.75228545
14211,1,PROPERTY,-90.21772694,38.79228322
14212,1,PERSON,-90.21768833,38.80472677
14213,1,PERSON,-90.21768499,38.80492743
14214,1,PROPERTY,-90.21764661,38.80261133
14215,1,PROPERTY,-90.21762543,38.7748209
14216,1,PERSON,-90.21762543,38.7748209
14217,1,PROPERTY,-90.21762543,38.7748209
14218,1,PROPERTY,-90.21760388,38.77367217
14219,1,PERSON,-90.2175854,38.79459028
14220,1,PROPERTY,-90.21757998,38.77500517
14221,1,PROPERTY,-90.21755555,38.74455071
14222,1,PROPERTY,-90.21755555,38.74455071
14223,1,PERSON,-90.21754059,38.79007061
14224,1,PROPERTY,-90.21750963,38.7723886
14225,1,PROPERTY,-90.21749513,38.7736036
14226,1,PROPERTY,-90.21749009,38.75226014
14227,1,PROPERTY,-90.21749009,38.75226014
14228,1,PROPERTY,-90.21747407,38.77355649
14229,1,PROPERTY,-90.21747407,38.77355649
14230,1,PROPERTY,-90.21747407,38.77355649
14231,1,PERSON,-90.21747407,38.77355649
14232,1,PROPERTY,-90.21747407,38.77355649
14233,1,PROPERTY,-90.21747044,38.79461771
14234,1,PERSON,-90.21743805,38.774815
14235,1,PROPERTY,-90.21741962,38.80229265
14236,1,PERSON,-90.21736865,38.75526518
14237,1,PROPERTY,-90.21735555,38.74106931
14238,1,PROPERTY,-90.21735057,38.77542464
14239,1,PERSON,-90.21735057,38.77542464
14240,1,PERSON,-90.21731383,38.76969618
14241,1,PERSON,-90.21731383,38.76969618
14242,1,PROPERTY,-90.21731383,38.76969618
14243,1,PROPERTY,-90.21731383,38.76969618
14244,1,PERSON,-90.21731383,38.76969618
14245,1,PROPERTY,-90.21731383,38.76969618
14246,1,PERSON,-90.21731383,38.76969618
14247,1,PROPERTY,-90.21731383,38.76969618
14248,1,PROPERTY,-90.2172461,38.76968475
14249,1,PROPERTY,-90.2172461,38.76968475
14250,1,PROPERTY,-90.21723213,38.79049668
14251,1,PROPERTY,-90.21722928,38.79049961
14252,1,PROPERTY,-90.21722073,38.79050843
14253,1,PROPERTY,-90.21719023,38.78922398
14254,1,PROPERTY,-90.21718837,38.79032714
14255,1,PROPERTY,-90.21718654,38.79054369
14256,1,PROPERTY,-90.2171723,38.79055838
14257,1,PERSON,-90.21716512,38.79031554
14258,1,PROPERTY,-90.21712961,38.77565899
14259,1,PROPERTY,-90.21712961,38.77565899
14260,1,PERSON,-90.2170617,38.79003748
14261,1,PERSON,-90.2170617,38.79003748
14262,1,PERSON,-90.21705944,38.78479173
14263,1,PERSON,-90.21705929,38.78503329
14264,1,PROPERTY,-90.21705165,38.80190442
14265,1,PERSON,-90.21702607,38.78924378
14266,1,PROPERTY,-90.21701403,38.77425809
14267,1,PROPERTY,-90.2170081,38.77463298
14268,1,PERSON,-90.2170081,38.77463298
14269,1,PERSON,-90.2170081,38.77463298
14270,1,PROPERTY,-90.21699922,38.75600676
14271,1,PROPERTY,-90.21696896,38.77644993
14272,1,PROPERTY,-90.21696896,38.77644993
14273,1,PROPERTY,-90.21689407,38.74171724
14274,1,PROPERTY,-90.21686551,38.77420488
14275,1,PROPERTY,-90.2168642,38.77463515
14276,1,PROPERTY,-90.2168642,38.77463515
14277,1,PERSON,-90.21686067,38.77163689
14278,1,PROPERTY,-90.21685433,38.75659993
14279,1,PROPERTY,-90.21683275,38.78424186
14280,1,PROPERTY,-90.2168061,38.77418359
14281,1,PROPERTY,-90.21680564,38.78560429
14282,1,PROPERTY,-90.21675405,38.77556355
14283,1,PROPERTY,-90.21675221,38.78597894
14284,1,PROPERTY,-90.21671228,38.75287212
14285,1,PROPERTY,-90.2166953,38.74100643
14286,1,PROPERTY,-90.21661323,38.74348704
14287,1,PROPERTY,-90.21661323,38.74348704
14288,1,PROPERTY,-90.21660146,38.74589309
14289,1,PERSON,-90.21656409,38.77542304
14290,1,PROPERTY,-90.21655714,38.7744771
14291,1,PERSON,-90.2165486,38.74598496
14292,1,PERSON,-90.21652995,38.74319173
14293,1,PROPERTY,-90.21650935,38.7553149
14294,1,PROPERTY,-90.21649179,38.78981311
14295,1,PROPERTY,-90.21645998,38.77544085
14296,1,PROPERTY,-90.21645998,38.77544085
14297,1,PROPERTY,-90.21644356,38.78688449
14298,1,PROPERTY,-90.21644356,38.78688449
14299,1,PROPERTY,-90.21642656,38.78968197
14300,1,PROPERTY,-90.21642272,38.77536405
14301,1,PERSON,-90.21642272,38.77536405
14302,1,PROPERTY,-90.21636321,38.77236244
14303,1,PROPERTY,-90.21636321,38.77236244
14304,1,PERSON,-90.21636321,38.77236244
14305,1,PERSON,-90.21636321,38.77236244
14306,1,PROPERTY,-90.21629518,38.7723532
14307,1,PROPERTY,-90.21626394,38.77535905
14308,1,PROPERTY,-90.21626394,38.77535905
14309,1,PROPERTY,-90.21626394,38.77535905
14310,1,PROPERTY,-90.21622645,38.78729677
14311,1,PROPERTY,-90.21622345,38.75041003
14312,1,PERSON,-90.21619915,38.74158976
14313,1,PROPERTY,-90.21619661,38.776399
14314,1,PROPERTY,-90.21619661,38.776399
14315,1,PERSON,-90.21619661,38.776399
14316,1,PROPERTY,-90.21614273,38.7726656
14317,1,PERSON,-90.21610699,38.7411636
14318,1,PROPERTY,-90.21607695,38.77438631
14319,1,PROPERTY,-90.21607695,38.77438631
14320,1,PROPERTY,-90.21607215,38.78793938
14321,1,PROPERTY,-90.21606472,38.77530055
14322,1,PROPERTY,-90.21605867,38.74151209
14323,1,PROPERTY,-90.21603187,38.75154927
14324,1,PROPERTY,-90.21597713,38.75187477
14325,1,PROPERTY,-90.21594513,38.78586577
14326,1,PROPERTY,-90.21594513,38.78586577
14327,1,PROPERTY,-90.21592225,38.76947511
14328,1,PROPERTY,-90.21591473,38.74258349
14329,1,PROPERTY,-90.21591048,38.74312054
14330,1,PROPERTY,-90.21590777,38.77635561
14331,1,PROPERTY,-90.21590777,38.77635561
14332,1,PROPERTY,-90.21590777,38.77635561
14333,1,PERSON,-90.21588625,38.74279591
14334,1,PROPERTY,-90.21581366,38.74329268
14335,1,PERSON,-90.21573192,38.78669537
14336,1,PERSON,-90.21573192,38.78669537
14337,1,PROPERTY,-90.21570927,38.77539361
14338,1,PROPERTY,-90.21570187,38.78418615
14339,1,PROPERTY,-90.21565823,38.77940737
14340,1,PROPERTY,-90.21565586,38.77519164
14341,1,PROPERTY,-90.21564746,38.77330917
14342,1,PERSON,-90.2156399,38.77525695
14343,1,PROPERTY,-90.2156399,38.77525695
14344,1,PROPERTY,-90.2156399,38.77525695
14345,1,PROPERTY,-90.21563088,38.77309671
14346,1,PERSON,-90.21563088,38.77309671
14347,1,PROPERTY,-90.21563088,38.77309671
14348,1,PROPERTY,-90.21563088,38.77309671
14349,1,PERSON,-90.21562568,38.77631065
14350,1,PROPERTY,-90.21562568,38.77631065
14351,1,PROPERTY,-90.21562568,38.77631065
14352,1,PROPERTY,-90.21562179,38.77516358
14353,1,PROPERTY,-90.21562179,38.77516358
14354,1,PROPERTY,-90.21561237,38.77523428
14355,1,PROPERTY,-90.21559718,38.75728888
14356,1,PERSON,-90.21558682,38.77327134
14357,1,PROPERTY,-90.21558682,38.77327134
14358,1,PROPERTY,-90.21558066,38.78934417
14359,1,PROPERTY,-90.21556629,38.77351761
14360,1,PROPERTY,-90.21556629,38.77351761
14361,1,PROPERTY,-90.21556629,38.77351761
14362,1,PROPERTY,-90.21556629,38.77351761
14363,1,PROPERTY,-90.21556629,38.77351761
14364,1,PROPERTY,-90.21555732,38.77518894
14365,1,PROPERTY,-90.21555732,38.77518894
14366,1,PERSON,-90.21555732,38.77518894
14367,1,PROPERTY,-90.21555732,38.77518894
14368,1,PROPERTY,-90.2155298,38.77516628
14369,1,PROPERTY,-90.2155298,38.77516628
14370,1,PROPERTY,-90.21552572,38.77566032
14371,1,PROPERTY,-90.21552572,38.77566032
14372,1,PROPERTY,-90.2154825,38.78144283
14373,1,PROPERTY,-90.21543458,38.77371024
14374,1,PROPERTY,-90.21543458,38.77371024
14375,1,PROPERTY,-90.21543455,38.74761132
14376,1,PROPERTY,-90.21541502,38.74580281
14377,1,PERSON,-90.21536171,38.78409854
14378,1,PROPERTY,-90.21536171,38.78409854
14379,1,PROPERTY,-90.21530656,38.78992039
14380,1,PROPERTY,-90.21529163,38.77088222
14381,1,PERSON,-90.21526715,38.78659687
14382,1,PROPERTY,-90.21525803,38.74858803
14383,1,PROPERTY,-90.2151912,38.77096995
14384,1,PROPERTY,-90.21515427,38.77515369
14385,1,PERSON,-90.21515427,38.77515369
14386,1,PERSON,-90.21515427,38.77515369
14387,1,PROPERTY,-90.21513426,38.74857497
14388,1,PERSON,-90.21511041,38.77519659
14389,1,PROPERTY,-90.21510885,38.73699148
14390,1,PROPERTY,-90.21510803,38.79070705
14391,1,PERSON,-90.21500322,38.73988386
14392,1,PROPERTY,-90.21500257,38.73980299
14393,1,PROPERTY,-90.21498349,38.77525294
14394,1,PROPERTY,-90.21498232,38.74862244
14395,1,PROPERTY,-90.21498221,38.79106548
14396,1,PROPERTY,-90.21494175,38.74886592
14397,1,PROPERTY,-90.21489356,38.77539079
14398,1,PROPERTY,-90.21489205,38.7755325
