Count,TYPE,X,Y
1,PROPERTY,-90.52418662,38.56586187
1,PERSON,-90.52076886,38.59320435
1,PROPERTY,-90.52053618,38.59044482
1,PROPERTY,-90.51993209,38.55926914
1,PROPERTY,-90.51983867,38.55918739
1,PERSON,-90.51967932,38.55939879
1,PROPERTY,-90.51948168,38.5525127
1,PROPERTY,-90.51926858,38.55943155
1,PROPERTY,-90.51922075,38.55396316
1,PROPERTY,-90.51791514,38.56186674
1,PROPERTY,-90.51770269,38.55712585
1,PROPERTY,-90.51672513,38.56469535
1,PROPERTY,-90.51480269,38.56154622
1,PROPERTY,-90.51473212,38.54938607
1,PROPERTY,-90.51427727,38.56099231
1,PROPERTY,-90.51371794,38.55039664
1,PROPERTY,-90.51274382,38.56108454
1,PROPERTY,-90.51231252,38.5662947
1,PROPERTY,-90.51182826,38.56455889
1,PROPERTY,-90.51169269,38.50929759
1,PROPERTY,-90.51137004,38.51148289
1,PROPERTY,-90.51113109,38.55658072
1,PROPERTY,-90.51034312,38.50142875
1,PROPERTY,-90.51010868,38.60735817
1,PROPERTY,-90.50994739,38.61688402
1,PROPERTY,-90.50930624,38.61116398
1,PERSON,-90.50887266,38.56702144
1,PROPERTY,-90.50886346,38.50914728
1,PROPERTY,-90.50849506,38.58607197
1,PROPERTY,-90.50745866,38.6058888
1,PROPERTY,-90.50717371,38.56767104
1,PROPERTY,-90.50705383,38.605566
1,PROPERTY,-90.50628254,38.50148784
1,PROPERTY,-90.50518103,38.55690588
1,PROPERTY,-90.50487229,38.53667569
1,PROPERTY,-90.50395481,38.56227784
1,PROPERTY,-90.50374139,38.55004004
1,PERSON,-90.50364921,38.60466569
1,PERSON,-90.50364921,38.60466569
1,PROPERTY,-90.50356347,38.51086037
1,PERSON,-90.50334333,38.50772406
1,PROPERTY,-90.50311247,38.50445151
1,PROPERTY,-90.50298403,38.55112417
1,PROPERTY,-90.50253686,38.56770936
1,PROPERTY,-90.50250035,38.60812626
1,PROPERTY,-90.50236111,38.54796736
1,PROPERTY,-90.50232122,38.51317016
1,PROPERTY,-90.50196742,38.53343946
1,PERSON,-90.50160641,38.61416179
1,PERSON,-90.50144571,38.55011963
1,PROPERTY,-90.50122909,38.53422131
1,PROPERTY,-90.50114789,38.53533421
1,PROPERTY,-90.50096616,38.50738025
1,PROPERTY,-90.50094103,38.50303298
1,PROPERTY,-90.5009303,38.52510557
1,PROPERTY,-90.50031511,38.60824299
1,PROPERTY,-90.50005549,38.59092384
1,PROPERTY,-90.49968444,38.59274557
1,PROPERTY,-90.49968444,38.59274557
1,PROPERTY,-90.49905978,38.53906431
1,PROPERTY,-90.49866234,38.59293997
1,PROPERTY,-90.4986332,38.59345542
1,PROPERTY,-90.4986332,38.59345542
1,PROPERTY,-90.4986332,38.59345542
1,PROPERTY,-90.49822546,38.53714411
1,PROPERTY,-90.49803141,38.55977143
1,PROPERTY,-90.49771508,38.59370642
1,PROPERTY,-90.49750855,38.56778049
1,PROPERTY,-90.49750855,38.56778049
1,PROPERTY,-90.49750855,38.56778049
1,PROPERTY,-90.49750855,38.56778049
1,PROPERTY,-90.49750855,38.56778049
1,PROPERTY,-90.49750855,38.56778049
1,PERSON,-90.4973932,38.5909092
1,PROPERTY,-90.49736752,38.55888765
1,PROPERTY,-90.49714537,38.50256469
1,PROPERTY,-90.49698819,38.59922335
1,PROPERTY,-90.49690417,38.55887501
1,PROPERTY,-90.49688449,38.59132658
1,PROPERTY,-90.49681188,38.56717073
1,PROPERTY,-90.49679276,38.56741062
1,PROPERTY,-90.49671325,38.60080745
1,PROPERTY,-90.49659381,38.53567223
1,PROPERTY,-90.49659381,38.53567223
1,PROPERTY,-90.49659381,38.53567223
1,PROPERTY,-90.49659381,38.53567223
1,PROPERTY,-90.49659381,38.53567223
1,PROPERTY,-90.49659381,38.53567223
1,PROPERTY,-90.49659365,38.56871434
1,PROPERTY,-90.49659365,38.56871434
1,PROPERTY,-90.49636488,38.5287735
1,PROPERTY,-90.4961938,38.5941223
1,PROPERTY,-90.4961938,38.5941223
1,PROPERTY,-90.4961938,38.5941223
1,PROPERTY,-90.4961938,38.5941223
1,PROPERTY,-90.4961938,38.5941223
1,PROPERTY,-90.4961938,38.5941223
1,PROPERTY,-90.49589633,38.53774993
1,PROPERTY,-90.49584777,38.60809887
1,PROPERTY,-90.49584777,38.60809887
1,PROPERTY,-90.49584777,38.60809887
1,PROPERTY,-90.49576022,38.5942407
1,PERSON,-90.49560176,38.55539754
1,PROPERTY,-90.49560176,38.55539754
1,PROPERTY,-90.49555957,38.54384335
1,PROPERTY,-90.49555957,38.54384335
1,PROPERTY,-90.49544469,38.59134277
1,PROPERTY,-90.4953942,38.55492344
1,PROPERTY,-90.49524766,38.54493106
1,PROPERTY,-90.49524766,38.54493106
1,PERSON,-90.49507545,38.5547596
1,PROPERTY,-90.49499177,38.55102534
1,PROPERTY,-90.49496222,38.55505978
1,PROPERTY,-90.49490281,38.59370115
1,PROPERTY,-90.49480157,38.5340028
1,PROPERTY,-90.49480157,38.5340028
1,PROPERTY,-90.49480157,38.5340028
1,PERSON,-90.4947529,38.55545578
1,PROPERTY,-90.49466972,38.54803289
1,PROPERTY,-90.49466972,38.54803289
1,PROPERTY,-90.49466972,38.54803289
1,PROPERTY,-90.49442553,38.53310194
1,PERSON,-90.49439629,38.55607967
1,PROPERTY,-90.49435435,38.50902316
1,PROPERTY,-90.49411606,38.54890844
1,PROPERTY,-90.49404687,38.58834191
1,PROPERTY,-90.49404687,38.58834191
1,PROPERTY,-90.49402418,38.50790332
1,PROPERTY,-90.49398029,38.58880595
1,PROPERTY,-90.49378664,38.56566658
1,PERSON,-90.49373118,38.53806282
1,PROPERTY,-90.49368706,38.55319691
1,PROPERTY,-90.49368706,38.55319691
1,PROPERTY,-90.49368706,38.55319691
1,PROPERTY,-90.49365961,38.58903091
1,PROPERTY,-90.49348498,38.58656175
1,PROPERTY,-90.49348296,38.52743924
1,PROPERTY,-90.49345411,38.58632889
1,PROPERTY,-90.49344132,38.58755778
1,PROPERTY,-90.49332537,38.50246507
1,PROPERTY,-90.49320479,38.52165096
1,PERSON,-90.49318395,38.59059666
1,PROPERTY,-90.49318395,38.59059666
1,PERSON,-90.49307656,38.54825738
1,PERSON,-90.49307656,38.54825738
1,PERSON,-90.49307656,38.54825738
1,PERSON,-90.49307656,38.54825738
1,PROPERTY,-90.49307656,38.54825738
1,PROPERTY,-90.4928085,38.50749528
1,PROPERTY,-90.49252346,38.58688883
1,PROPERTY,-90.4924558,38.53922118
1,PROPERTY,-90.49224513,38.55931924
1,PROPERTY,-90.49215713,38.55167111
1,PROPERTY,-90.49194739,38.5587729
1,PROPERTY,-90.49181824,38.50196167
1,PROPERTY,-90.49179919,38.55534376
1,PROPERTY,-90.49177169,38.59105595
1,PROPERTY,-90.49177169,38.59105595
1,PROPERTY,-90.49168205,38.55542398
1,PROPERTY,-90.49157984,38.55495545
1,PROPERTY,-90.49157077,38.50826565
1,PROPERTY,-90.49147935,38.52261283
1,PROPERTY,-90.4914472,38.50828447
1,PROPERTY,-90.49142489,38.55495556
1,PROPERTY,-90.49102836,38.59542454
1,PERSON,-90.49093171,38.5955702
1,PROPERTY,-90.49088742,38.53505411
1,PROPERTY,-90.49076322,38.58464054
1,PROPERTY,-90.49067341,38.59328598
1,PROPERTY,-90.49057607,38.5572825
1,PROPERTY,-90.49040403,38.53325461
1,PROPERTY,-90.49013508,38.55012288
1,PROPERTY,-90.48981282,38.59843545
1,PROPERTY,-90.48953388,38.51733592
1,PROPERTY,-90.4894887,38.6850123
1,PROPERTY,-90.48935648,38.55099082
1,PROPERTY,-90.48926157,38.54936175
1,PROPERTY,-90.48926157,38.54936175
1,PROPERTY,-90.48887017,38.59601779
1,PERSON,-90.48887017,38.59601779
1,PROPERTY,-90.48887017,38.59601779
1,PROPERTY,-90.48887017,38.59601779
1,PROPERTY,-90.48887017,38.59601779
1,PROPERTY,-90.48887017,38.59601779
1,PROPERTY,-90.48882185,38.56157319
1,PROPERTY,-90.48879906,38.68770984
1,PROPERTY,-90.48867664,38.51007309
1,PROPERTY,-90.48867664,38.51007309
1,PROPERTY,-90.48865878,38.50828586
1,PROPERTY,-90.48848111,38.51670147
1,PROPERTY,-90.48828834,38.53116596
1,PROPERTY,-90.48797862,38.59285472
1,PROPERTY,-90.4878508,38.53456023
1,PROPERTY,-90.48767379,38.69257607
1,PROPERTY,-90.48725891,38.53468509
1,PROPERTY,-90.48709119,38.52132054
1,PROPERTY,-90.48677039,38.59650038
1,PROPERTY,-90.48664813,38.50607426
1,PERSON,-90.48656508,38.56044004
1,PROPERTY,-90.48643281,38.59653551
1,PROPERTY,-90.48643281,38.59653551
1,PROPERTY,-90.48643281,38.59653551
1,PROPERTY,-90.48631686,38.56073785
1,PROPERTY,-90.48626541,38.59655179
1,PROPERTY,-90.48626541,38.59655179
1,PROPERTY,-90.48589334,38.69382225
1,PROPERTY,-90.48580914,38.55169727
1,PERSON,-90.48578841,38.52956959
1,PERSON,-90.48578841,38.52956959
1,PERSON,-90.48569287,38.69545112
1,PROPERTY,-90.48565908,38.55100274
1,PROPERTY,-90.48554043,38.50983044
1,PROPERTY,-90.48546314,38.6068547
1,PERSON,-90.48533126,38.53665104
1,PROPERTY,-90.48533077,38.59657281
1,PROPERTY,-90.48533077,38.59657281
1,PROPERTY,-90.48519813,38.61035972
1,PROPERTY,-90.48507911,38.5536833
1,PROPERTY,-90.48505674,38.5502869
1,PROPERTY,-90.48495035,38.5245483
1,PROPERTY,-90.48495035,38.5245483
1,PROPERTY,-90.4843627,38.56251141
1,PROPERTY,-90.48404984,38.68426687
1,PROPERTY,-90.48404283,38.50600595
1,PROPERTY,-90.48401262,38.68481897
1,PROPERTY,-90.48401191,38.684532
1,PROPERTY,-90.48375333,38.5052519
1,PROPERTY,-90.48375333,38.5052519
1,PROPERTY,-90.48353576,38.50792011
1,PROPERTY,-90.48344351,38.55060495
1,PROPERTY,-90.48340457,38.52637358
1,PROPERTY,-90.48328093,38.5632456
1,PROPERTY,-90.48295716,38.69232343
1,PROPERTY,-90.48295104,38.69187386
1,PROPERTY,-90.48276247,38.53386989
1,PROPERTY,-90.4827611,38.59641518
1,PROPERTY,-90.4827611,38.59641518
1,PROPERTY,-90.48178622,38.55093176
1,PERSON,-90.48176916,38.51673612
1,PROPERTY,-90.48163873,38.55168243
1,PROPERTY,-90.48163706,38.55179599
1,PROPERTY,-90.48135151,38.55101747
1,PROPERTY,-90.48124283,38.55103889
1,PROPERTY,-90.48106625,38.55446689
1,PROPERTY,-90.48084991,38.70128646
1,PERSON,-90.4806731,38.55363553
