Serial,Count,TYPE,X,Y
17198,1,Property,-90.26428226,38.53130448
17199,1,Property,-90.26165652,38.81892509
17200,1,Property,-90.26100159,38.71902782
17201,1,Property,-90.26090136,38.80255185
17202,1,Property,-90.26074467,38.71691434
17203,1,Property,-90.26055717,38.73935874
17204,1,Property,-90.26038653,38.71120115
17205,1,Property,-90.26023132,38.78881302
17206,1,Property,-90.25313143,38.72697554
17207,1,Property,-90.25262008,38.77289011
17208,1,Property,-90.25199475,38.75550408
17209,1,Property,-90.25011467,38.79402678
17210,1,Property,-90.24971032,38.74119257
17211,1,Property,-90.24932715,38.75056991
17212,1,Property,-90.24932715,38.75056991
17213,1,Property,-90.24701767,38.79085313
17214,1,Property,-90.24569559,38.75690466
17215,1,Property,-90.24412409,38.7361545
17216,1,Property,-90.24343623,38.72673946
17217,1,Property,-90.24059195,38.79646013
17218,1,Property,-90.23544213,38.78454878
17219,1,Property,-90.23469481,38.79669916
17220,1,Property,-90.23266904,38.7489785
17221,1,Property,-90.23199981,38.79911141
17222,1,Property,-90.23148523,38.75756346
17223,1,Property,-90.23140594,38.79945911
17224,1,Property,-90.22859952,38.79609309
17225,1,Property,-90.22698272,38.79360056
17226,1,Property,-90.22327522,38.7298073
17227,1,Property,-90.22064165,38.79357665
17228,1,Property,-90.21570781,38.77443272
17229,1,Property,-90.2123495,38.7961867
17230,1,Property,-90.21126642,38.80123569
17231,1,Property,-90.2097147,38.75128038
17232,1,Property,-90.20964457,38.80086476
17233,1,Property,-90.20926571,38.76039586
17234,1,Property,-90.20569365,38.78012926
17235,1,Property,-90.20516189,38.78765668
17236,1,Property,-90.20385462,38.7645903
17237,1,Property,-90.20322282,38.76476375
17238,1,Property,-90.20055472,38.76911495
17239,1,Property,-90.19901221,38.77055394
17240,1,Property,-90.19867441,38.76862067
17241,1,Property,0,0
17242,1,Property,0,0
17243,1,Property,0,0
17244,-1,Property,0,0
17245,1,Property,0,0
17246,1,Property,0,0
17247,-1,Property,0,0
17248,1,Property,0,0
17249,1,Property,-90.64476928,38.62424591
17250,1,Property,-90.64466946,38.49696339
17251,1,Property,-90.64463147,38.65093145
17252,1,Property,-90.64427723,38.58741769
17253,1,Property,-90.64427723,38.58741769
17254,1,Property,-90.63169407,38.52086616
17255,1,Property,-90.62927227,38.5816708
17256,1,Property,-90.60777475,38.58878775
17257,1,Property,-90.58150167,38.64788598
17258,1,Property,-90.57918746,38.59223666
17259,1,Property,-90.564035,38.607381
17260,1,Property,-90.56327771,38.58349708
17261,1,Property,-90.56233,38.598693
17262,1,Property,-90.5607162,38.59928775
17263,1,Property,-90.557927,38.592757
17264,1,Property,-90.557776,38.588704
17265,1,Property,-90.55438056,38.60609643
17266,1,Property,-90.552914,38.607627
17267,1,Property,-90.552476,38.572991
17268,1,Property,-90.551813,38.569932
17269,1,Property,-90.55157,38.592787
17270,1,Property,-90.548523,38.608687
17271,1,Property,-90.53969643,38.63866023
17272,1,Property,-90.53699039,38.57702223
17273,1,Property,-90.52304373,38.567849
17274,1,Property,-90.52236423,38.62255191
17275,1,Property,-90.51631716,38.56598443
17276,1,Property,-90.49656587,38.53520258
17277,1,Property,-90.49511894,38.5934532
17278,1,Property,-90.49511894,38.5934532
17279,1,Property,-90.49455119,38.6751209
17280,1,Property,-90.49358855,38.52284712
17281,1,Property,-90.49132215,38.68301826
17282,1,Property,-90.47700016,38.67954602
17283,1,Property,-90.46209773,38.77319451
17284,1,Property,-90.45891972,38.75885558
17285,1,Property,-90.44740255,38.68889517
17286,1,Property,-90.44629528,38.66943671
17287,1,Property,-90.44181208,38.67614742
17288,1,Property,-90.44140644,38.54325202
17289,1,Property,-90.43969148,38.74866556
17290,1,Property,-90.43863306,38.59364446
17291,1,Property,-90.43600964,38.59673467
17292,1,Property,-90.43423371,38.65315624
17293,1,Property,-90.42046854,38.54937962
17294,1,Property,-90.41330376,38.6644695
17295,1,Property,-90.40779157,38.52887156
17296,1,Property,-90.40767488,38.63016873
17297,1,Property,-90.40716072,38.63349773
17298,1,Property,-90.40490855,38.68356824
17299,1,Property,-90.40462377,38.70411794
17300,1,Property,-90.39526496,38.70340424
17301,1,Property,-90.39223699,38.70202065
17302,1,Property,-90.39026209,38.69204939
17303,1,Property,-90.38484283,38.53212782
17304,1,Property,-90.3815524,38.70945493
17305,1,Property,-90.375795,38.580812
17306,1,Property,-90.37286133,38.68935412
17307,1,Property,-90.37132492,38.72119068
17308,1,Property,-90.3697195,38.7189744
17309,1,Property,-90.3684046,38.72879592
17310,1,Property,-90.3679533,38.71984967
17311,1,Property,-90.36452884,38.68761313
17312,1,Property,-90.36409855,38.46669468
17313,1,Property,-90.3637664,38.68795788
17314,1,Property,-90.36327,38.568335
17315,1,Property,-90.36298546,38.68663585
17316,1,Property,-90.362376,38.570812
17317,1,Property,-90.36094775,38.72341634
17318,1,Property,-90.36047428,38.73345275
17319,1,Property,-90.359095,38.633628
17320,1,Property,-90.358174,38.607196
17321,1,Property,-90.356914,38.606282
17322,1,Property,-90.35670832,38.5237178
17323,1,Property,-90.3558231,38.48142633
17324,1,Property,-90.35476446,38.7137368
17325,1,Property,-90.35444368,38.73343912
17326,1,Property,-90.35444368,38.73343912
17327,1,Property,-90.35444368,38.73343912
17328,1,Property,-90.35444368,38.73343912
17329,1,Property,-90.35444368,38.73343912
17330,1,Property,-90.35444368,38.73343912
17331,1,Property,-90.35444368,38.73343912
17332,1,Property,-90.35391893,38.73378868
17333,1,Property,-90.352908,38.579275
17334,1,Property,-90.350899,38.625702
17335,1,Property,-90.34988231,38.71985018
17336,1,Property,-90.34964151,38.48339911
17337,1,Property,-90.34858061,38.46834608
17338,1,Property,-90.346111,38.62829
17339,1,Property,-90.34598908,38.69975381
17340,1,Property,-90.34573459,38.7122948
17341,1,Property,-90.34430662,38.49173858
17342,1,Property,-90.34410527,38.52041631
17343,1,Property,-90.34185407,38.51721835
17344,1,Property,-90.34172531,38.70691368
17345,1,Property,-90.34172531,38.70691368
17346,1,Property,-90.34048947,38.56725965
17347,1,Property,-90.33939544,38.70480699
17348,1,Property,-90.339392,38.624114
17349,1,Property,-90.339392,38.624114
17350,1,Property,-90.33927331,38.51496399
17351,1,Property,-90.33879131,38.71401311
17352,1,Property,-90.33693326,38.71338276
17353,1,Property,-90.336464,38.622755
17354,1,Property,-90.33626436,38.52332149
17355,1,Property,-90.33605733,38.71922099
17356,1,Property,-90.334412,38.590324
17357,1,Property,-90.33178026,38.47781178
17358,1,Property,-90.331296,38.50983822
17359,1,Property,-90.3303897,38.50520513
17360,1,Property,-90.32980998,38.71715918
